Region,Month,Year,Position,Battletag
Asia,June,2018,44,Rdu
Asia,June,2018,45,justsaiyan
Asia,June,2018,46,Steelo
Asia,June,2018,47,kolmari
Asia,June,2018,48,Glasnost
Asia,June,2018,49,MegaGliscor
Asia,June,2018,50,aqua
Asia,June,2018,51,posesi
Asia,June,2018,52,IceWizard
Asia,June,2018,53,tom60229
Asia,June,2018,54,cocosasa
Asia,June,2018,55,Zalae
Asia,June,2018,56,GreenSheep
Asia,June,2018,57,Teddy
Asia,June,2018,58,山下智久
Asia,June,2018,59,Fungggg
Asia,June,2018,60,MATSURI
Asia,June,2018,61,從垃圾堆回來了
Asia,June,2018,62,大黑神
Asia,June,2018,63,blitzchung
